"Lawrence Justinian, Saint",9880834
"Le Franc, Martin",90635027
"Leo I, Pope",9875336
"Leo X, Pope",96579640
Leonardo da Vinci,167579503
"Lessius, Leonardus",41895963
Levi ben Gershom,59118174
"Lloyd, Lodowick",24948395
"Louis XI, King of France",262252890
"Love, Nicholas",51725689
"Lucretius Carus, Titus",106388020
"Luther, Martin",14773105
"Lydgate, John",22158282
"Lyndwood, William",32343786
"Macrobius, Ambrosius Aurelius Theodosius",39387062
"Maerlant, Jacob van",56624842
"Maffei, Timoteo",10088376
"Maggio, Giuniano",10000580
"Maidstone, Richard",93809061
"Manetti, Giannozzo",68944891
"Manilius, Marcus",22137113
"Map, Walter",98031958
"Marbode, Bishop of Rennes",241082057
"Marcaldi, Francesco",90515994
"Marchesinus, Johannes",89198534
Martianus Capella,95152094
"Martines, Joan",64308101
"Mary, Blessed Virgin, Saint",121008611
"Mauritius, Hibernicus",19424140
"Maurolico, Francesco",34537888
"Maximus, Confessor, Saint",106970843
"Meisterlin, Sigismund",59429792
"Mela, Pomponius",34489209
Michault Taillevent,37728041
"Michaut, Pierre",93616670
"Millet, Jacques",27281491
"Mocenigo, Alvise I",50287209
"Molinet, Jean",100201994
"Monstrelet, Enguerrand de",14869706
"Montgomery, John",76441093
"Morando, Benedetto",9208213
"Moschopoulos, Manuel",32075977
"Moulins, Guyart des",305410971
"Muris, Johannes de",299627614
"Mussato, Albertino",2636158
"Navagero, Bernardo",65123702
"Nepos, Cornelius",100219060
Nicholas of Lyra,313283890
"Nider, Johannes",44308497
Nonius Marcellus,59182520
"Nypsus, Marcus Iunius",255022365
"Oresme, Nicole",64010010
"Orosius, Paulus",2479624
"Osio, Teodato",315175292
"Pacioli, Luca",87677562
"Palladius, Bishop of Aspuna",61550437
"Palladius, Rutilius Taurus Aemilianus",54143112
"Pallavicino, Sforza",39446321
"Palmieri, Matteo",64097675
"Peckham, John",88794405
"Pecock, Reginald",44413993
"Pediasimus, Ioannes",97934141
"Pelacani da Parma, Biagio",79073402
"Pendasio, Federico",212964054
"Pergola, Paolo della",72445530
