id,name,viaf_id,comment,authors_count,artists_count,scribes_count,source_agents_count,sale_agents_count,provenance_count,is_artist,is_author,is_provenance_agent,is_scribe,reviewed,created_by,created_at,updated_by,updated_at
9874,Brown-Windsor,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9873,W Rusher-Banbury,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9872,Salisbury,,,0,0,0,1,0,6,false,false,true,false,true,(none),"",(none),""
9871,Bunyan J.-London,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9870,Cassander G.-London,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9869,venice?,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9868,Durie J.-London,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9867,Naudaeus G-Ienae,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9866,Guillon R.-Paris,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9865,Clenardus N.-Paris,37068791,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),"October 15, 2015 12:10"
9864,Petrus S.-Col. Agrip,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9863,Venice,122596149,,0,0,0,2,0,0,false,false,true,false,true,(none),"",(none),"October 15, 2015 12:10"
9862,Germany,,,0,0,0,1,0,10,false,false,true,false,true,(none),"",(none),""
9861,Lyser J.-Friburg?,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9860,Findall JM-London,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9859,Crenius T.-Lugd.Bat,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9858,L'Abbe Rive-Paris,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9857,Rive Abbe-Paris,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9856,Worrall J.-London,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9855,Varennes-London,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9854,Worrall J.l-Londo,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9853,Nield-Bristol,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9852,"Flackton,Marrable…..",,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9851,Booth & Son,144709126,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),"October 15, 2015 12:10"
9850,Renonard,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9849,Courcier-paris,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9848,Paris?,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9847,Aime-Martin-Brussel,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9846,Lazzarini-Roma,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9845,Clarigny C.-Paris,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9844,Brydges-Paris,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9843,Friederich C.-Frankfurt,27862850,,0,0,0,2,0,0,false,false,true,false,true,(none),"",(none),"October 15, 2015 12:10"
9842,C.B.Pfaff-Leopol,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9841,C.B. Pfaff-Leopol,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9840,Broenner-frankfurt,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9839,Mayr,54185531,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),"October 15, 2015 12:10"
9838,Monats-Bericht,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9837,Jugel K-Frankfurt,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9836,Oxford,,,0,0,0,6,1,22,false,false,true,false,true,(none),"",(none),""
9835,Hands-Coventry,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9834,Bayrenther,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9833,Thornton,100167035,,0,0,0,1,0,8,false,false,true,false,true,(none),"",(none),"October 15, 2015 12:10"
9832,London.,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9831,Mac Callum-Glasgow,90670590,,0,0,0,2,0,0,false,false,true,false,true,(none),"",(none),"October 15, 2015 12:10"
9830,Rusher-banbury,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9829,Birmingham,,,0,0,0,3,0,0,false,false,true,false,true,(none),"",(none),""
9828,Stubbs-Bologne,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9827,Raine-Durham,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9826,Alard,85054604,,1,0,0,1,32,54,false,true,true,false,true,(none),"",(none),"April 29, 2016 15:00"
9825,Bristol,,,0,0,0,2,0,0,false,false,true,false,true,(none),"",(none),""
9824,Cole J.,44636175,,0,0,0,2,0,0,false,false,true,false,true,(none),"",(none),"October 15, 2015 12:10"
9823,Chardin-paris,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9822,pickening& chatto,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9821,HALE M.-london,,,0,0,0,1,0,0,false,false,true,false,true,(none),"",(none),""
9820,Piatti-Florence,,,0,0,0,2,0,0,false,false,true,false,true,(none),"",(none),""
9819,Florence,,,0,0,0,1,0,4,false,false,true,false,true,(none),"",(none),""
